brain female embryo (109 days)	brain
heart female embryo (117 days)	heart
renal pelvis female embryo (96 days)	kidney
left lung female embryo (107 days)	lung
forelimb muscle female embryo (108 days)	skeletal muscle
stomach female embryo (105 days)	stomach
spinal cord female embryo (113 days)	spinal cord
left kidney male embryo (87 days)	kidney
lung female embryo (120 days)	lung
right lung male embryo (87 days)	lung
muscle of back male embryo (97 days)	skeletal muscle
lung female embryo (108 days)	lung
testis male embryo	testis
muscle of back male embryo (104 days)	skeletal muscle
stomach embryo (101 days)	stomach
small intestine male embryo (108 days)	small intestine
heart right ventricle female embryo (101 days) and female embryo (103 days)	heart
brain female embryo (96 days)	brain
liver embryo (59 days) and embryo (80 days)	liver
renal pelvis male embryo (91 days)	kidney
right lung female embryo (105 days)	lung
spinal cord male embryo (96 days)	spinal cord
renal pelvis male embryo (97 days)	kidney
lung female embryo (76 days)	lung
spinal cord male embryo (105 days)	spinal cord
spleen embryo (112 days)	spleen
H9 G1b phase genetically modified using stable transfection	ESC
kidney male embryo (85 days)	kidney
left lung male embryo (115 days)	lung
large intestine female embryo (98 days)	colon
retina embryo (74 days) and embryo (85 days)	retina
placenta female embryo (101 days) and male embryo (105 days)	placenta
femur female embryo (98 days)	bone
muscle of leg female embryo (115 days)	skeletal muscle
endodermal cell	endoderm
H1	ESC
heart male embryo (96 days)	heart
hepatocyte originated from H9	liver
stomach female embryo (147 days)	stomach
muscle of arm male embryo (101 days)	skeletal muscle
left lung female embryo (117 days)	lung
muscle of leg male embryo (96 days)	skeletal muscle
renal pelvis female embryo (105 days)	kidney
renal cortex interstitium female embryo (103 days)	kidney
heart female embryo (116 days) and female embryo (98 days)	heart
adrenal gland female embryo (108 days)	adrenal
muscle of back male embryo (127 days)	skeletal muscle
left renal cortex interstitium male embryo (105 days)	kidney
muscle of arm male embryo (115 days)	skeletal muscle
muscle of arm male embryo (97 days)	skeletal muscle
placenta female embryo (105 days)	placenta
placenta female embryo (85 days)	placenta
ovary female embryo	ovary
kidney female embryo (121 days)	kidney
muscle of leg male embryo (115 days)	skeletal muscle
right kidney female embryo (147 days)	kidney
kidney female embryo (105 days)	kidney
